date,series_id,tree_id,tree_name,site,tree_genus_species_original,tree_genus_species,TWD_mean,TWD_median,TWD_min,TWD_max,n_obs,n_excluded,qc_flag
2025-04-08,1880,910,Buche3_P1,P1,Fagus sylvatica,Fagus sylvatica,55.122020479166665,58.0717905,43.539767,60.802268,144,0,Valid
2025-04-08,1881,911,Fichte1_P1,P1,Abies alba,Abies alba,123.51120561111111,117.7675375,57.766468,204.657483,144,0,Valid
2025-04-08,1882,912,Fichte2_P1,P1,Abies alba,Abies alba,111.75885094444445,86.036719,22.952367,243.470244,144,0,Valid
2025-04-08,1883,913,Fichte3_P1,P1,Abies alba,Abies alba,69.96143224305555,63.490922499999996,9.889868,135.125362,144,0,Valid
2025-04-08,1884,914,Fichte1_G1,G1,Abies alba,Abies alba,110.76189310416667,91.35242,52.940597,191.530334,144,0,Valid
2025-04-08,1885,915,Fichte2_G1,G1,Abies alba,Abies alba,235.23950127777778,223.260114,166.261701,319.625722,144,0,Valid
2025-04-08,1886,916,Fichte3_G1,G1,Abies alba,Abies alba,4.704118048611111,1.4431370000000001,0,14.520894,144,0,Valid
2025-04-08,1887,917,Buche1_G1,G1,Fagus sylvatica,Fagus sylvatica,77.83573622916667,81.5985595,58.283819,87.810025,144,0,Valid
2025-04-08,1888,918,Buche2_G1,G1,Fagus sylvatica,Fagus sylvatica,37.33431654166667,40.398692,15.810108,48.589293,144,0,Valid
2025-04-08,1889,919,Buche3_G1,G1,Fagus sylvatica,Fagus sylvatica,52.60489734722222,54.538531500000005,36.844767,59.618641,144,0,Valid
2025-04-08,1890,920,Fichte1_P2,P2,Abies alba,Abies alba,19.454025458333334,17.2287975,0,43.266487,144,0,Valid
2025-04-08,1891,921,Fichte2_P2,P2,Abies alba,Abies alba,12.276937909722221,6.515122,0,34.795694,144,0,Valid
2025-04-08,1892,922,Fichte3_P2,P2,Abies alba,Abies alba,25.540338513888887,21.424693,0,69.269025,144,0,Valid
2025-04-08,1893,923,Buche1_P2,P2,Fagus sylvatica,Fagus sylvatica,42.676222020833336,46.549702499999995,25.939441,50.255374,144,0,Valid
2025-04-08,1894,924,Buche2_P2,P2,Fagus sylvatica,Fagus sylvatica,80.00621710416667,83.0414705,62.806809,91.366166,144,0,Valid
2025-04-08,1895,925,Buche3_P2,P2,Fagus sylvatica,Fagus sylvatica,53.36991456944445,55.441358,36.581818,64.220779,144,0,Valid
2025-04-08,1896,926,Buche1_P3,P3,Fagus sylvatica,Fagus sylvatica,58.24848055555555,59.077928,47.132451,67.35615,144,0,Valid
2025-04-08,1897,927,Buche2_P3,P3,Fagus sylvatica,Fagus sylvatica,20.535880249999998,21.426389,13.4199,23.989968,144,0,Valid
2025-04-08,1898,928,Buche3_P3,P3,Fagus sylvatica,Fagus sylvatica,55.67195399305555,56.882051,44.164532,65.486184,144,0,Valid
2025-04-08,1899,929,Fichte1_P3,P3,Fagus sylvatica,Abies alba,5.419231645833333,2.400822,0,19.314628,144,0,Valid
